method,algorithm,k,seed,silhouette
PCA,Agglomerative,6,2299,0.5639881437960454
PCA,Spectral,6,2299,0.2875621523225612
UMAP,KMeans,4,2299,0.4895707964897156
UMAP,GMM,4,2299,0.4743312895298004
UMAP,Agglomerative,4,2299,0.4657401442527771
UMAP,Spectral,4,2299,0.48549962043762207
UMAP,KMeans,5,2299,0.4725656509399414
UMAP,GMM,5,2299,0.4790301024913788
UMAP,Agglomerative,5,2299,0.4674740433692932
UMAP,Spectral,5,2299,0.4791671335697174
UMAP,KMeans,6,2299,0.43793314695358276
UMAP,GMM,6,2299,0.38979601860046387
UMAP,Agglomerative,6,2299,0.43218183517456055
UMAP,Spectral,6,2299,0.40862491726875305
MDS,KMeans,4,2299,0.39438095577004023
MDS,GMM,4,2299,0.6089557621369999
MDS,Agglomerative,4,2299,0.3925340267290311
MDS,Spectral,4,2299,0.27340863542440286
MDS,KMeans,5,2299,0.4141503089186284
MDS,GMM,5,2299,0.3877658839892308
MDS,Agglomerative,5,2299,0.41316400195022385
MDS,Spectral,5,2299,0.24706106067421826
MDS,KMeans,6,2299,0.40824192849621366
MDS,GMM,6,2299,0.38142065962645055
MDS,Agglomerative,6,2299,0.4196144404833068
MDS,Spectral,6,2299,0.25164546955609746
PCA,KMeans,4,9575,0.4863809316534468
PCA,GMM,4,9575,0.10630886691310956
PCA,Agglomerative,4,9575,0.48765134424796924
PCA,Spectral,4,9575,0.35808749973959464
PCA,KMeans,5,9575,0.5281900232358612
PCA,GMM,5,9575,0.315040205190891
PCA,Agglomerative,5,9575,0.5521963523374787
PCA,Spectral,5,9575,0.3193613881228527
PCA,KMeans,6,9575,0.56555838535161
PCA,GMM,6,9575,0.3450114327451788
PCA,Agglomerative,6,9575,0.5639881437960454
PCA,Spectral,6,9575,0.2875621523225612
UMAP,KMeans,4,9575,0.4593699276447296
UMAP,GMM,4,9575,0.455049067735672
UMAP,Agglomerative,4,9575,0.446412593126297
UMAP,Spectral,4,9575,0.4619942307472229
UMAP,KMeans,5,9575,0.4635562300682068
UMAP,GMM,5,9575,0.4134983420372009
UMAP,Agglomerative,5,9575,0.43800434470176697
UMAP,Spectral,5,9575,0.444219708442688
UMAP,KMeans,6,9575,0.43060171604156494
UMAP,GMM,6,9575,0.3703022301197052
UMAP,Agglomerative,6,9575,0.4069121181964874
UMAP,Spectral,6,9575,0.42266544699668884
MDS,KMeans,4,9575,0.38949498762277673
MDS,GMM,4,9575,0.37991890921667315
MDS,Agglomerative,4,9575,0.3767153353475558
MDS,Spectral,4,9575,0.25011966518265755
MDS,KMeans,5,9575,0.3973175132022256
MDS,GMM,5,9575,0.4040120854379983
MDS,Agglomerative,5,9575,0.400429021854872
MDS,Spectral,5,9575,0.2523548770895148
MDS,KMeans,6,9575,0.39961748777495737
MDS,GMM,6,9575,0.4005702970243886
MDS,Agglomerative,6,9575,0.40514634931549987
MDS,Spectral,6,9575,0.2523316902679832
PCA,KMeans,4,4031,0.4863809316534468
PCA,GMM,4,4031,0.41986029057574326
PCA,Agglomerative,4,4031,0.48765134424796924
PCA,Spectral,4,4031,0.35808749973959464
PCA,KMeans,5,4031,0.5269802136219324
PCA,GMM,5,4031,0.2807689809786663
PCA,Agglomerative,5,4031,0.5521963523374787
PCA,Spectral,5,4031,0.3193613881228527
PCA,KMeans,6,4031,0.56555838535161
PCA,GMM,6,4031,0.3450114327451788
PCA,Agglomerative,6,4031,0.5639881437960454
PCA,Spectral,6,4031,0.2875621523225612
UMAP,KMeans,4,4031,0.4746033847332001
UMAP,GMM,4,4031,0.4746033847332001
UMAP,Agglomerative,4,4031,0.45253267884254456
UMAP,Spectral,4,4031,0.46548905968666077
UMAP,KMeans,5,4031,0.4469561278820038
UMAP,GMM,5,4031,0.37628087401390076
UMAP,Agglomerative,5,4031,0.4514472782611847
UMAP,Spectral,5,4031,0.4480445683002472
UMAP,KMeans,6,4031,0.40463799238204956
UMAP,GMM,6,4031,0.36268487572669983
UMAP,Agglomerative,6,4031,0.39592444896698
UMAP,Spectral,6,4031,0.4135398864746094
MDS,KMeans,4,4031,0.390911785269339
MDS,GMM,4,4031,0.386670336964889
MDS,Agglomerative,4,4031,0.38189119361722623
MDS,Spectral,4,4031,0.26768540780483274
MDS,KMeans,5,4031,0.40720868384547665
MDS,GMM,5,4031,0.3884198676923474
MDS,Agglomerative,5,4031,0.3972198920989882
MDS,Spectral,5,4031,0.2570834583726575
MDS,KMeans,6,4031,0.3958184935634477
MDS,GMM,6,4031,0.398695884595144
MDS,Agglomerative,6,4031,0.39739169284183734
MDS,Spectral,6,4031,0.2627607171137785
PCA,KMeans,4,2687,0.4863809316534468
PCA,GMM,4,2687,0.41986029057574326
PCA,Agglomerative,4,2687,0.48765134424796924
PCA,Spectral,4,2687,0.35808749973959464
PCA,KMeans,5,2687,0.5281900232358612
PCA,GMM,5,2687,0.12339455289482867
PCA,Agglomerative,5,2687,0.5521963523374787
PCA,Spectral,5,2687,0.3193613881228527
PCA,KMeans,6,2687,0.56555838535161
PCA,GMM,6,2687,0.3450114327451788
PCA,Agglomerative,6,2687,0.5639881437960454
PCA,Spectral,6,2687,0.2875621523225612
UMAP,KMeans,4,2687,0.47570279240608215
UMAP,GMM,4,2687,0.4643028676509857
UMAP,Agglomerative,4,2687,0.4520603120326996
UMAP,Spectral,4,2687,0.4695999324321747
UMAP,KMeans,5,2687,0.4744199216365814
UMAP,GMM,5,2687,0.3555748462677002
UMAP,Agglomerative,5,2687,0.4560282528400421
UMAP,Spectral,5,2687,0.4775233864784241
UMAP,KMeans,6,2687,0.43159356713294983
UMAP,GMM,6,2687,0.4241637587547302
UMAP,Agglomerative,6,2687,0.39986637234687805
UMAP,Spectral,6,2687,0.43250730633735657
MDS,KMeans,4,2687,0.39090960522927737
MDS,GMM,4,2687,0.5952600303009321
MDS,Agglomerative,4,2687,0.38766153668021536
MDS,Spectral,4,2687,0.26719813077987137
MDS,KMeans,5,2687,0.3981761913186249
MDS,GMM,5,2687,0.3820619437284253
MDS,Agglomerative,5,2687,0.4043821560827992
MDS,Spectral,5,2687,0.25018564848433933
MDS,KMeans,6,2687,0.4042218239362063
MDS,GMM,6,2687,0.40570671738439557
MDS,Agglomerative,6,2687,0.41291182643408636
MDS,Spectral,6,2687,0.21800912586204677
PCA,KMeans,4,1159,0.4863809316534468
PCA,GMM,4,1159,0.41986029057574326
PCA,Agglomerative,4,1159,0.48765134424796924
PCA,Spectral,4,1159,0.35808749973959464
PCA,KMeans,5,1159,0.5281900232358612
PCA,GMM,5,1159,0.12339455289482867
PCA,Agglomerative,5,1159,0.5521963523374787
PCA,Spectral,5,1159,0.3193613881228527
PCA,KMeans,6,1159,0.5668289329928428
PCA,GMM,6,1159,0.3017440536745064
PCA,Agglomerative,6,1159,0.5639881437960454
PCA,Spectral,6,1159,0.2875621523225612
UMAP,KMeans,4,1159,0.46658197045326233
UMAP,GMM,4,1159,0.3746734857559204
UMAP,Agglomerative,4,1159,0.45951536297798157
UMAP,Spectral,4,1159,0.4658604860305786
UMAP,KMeans,5,1159,0.46449628472328186
UMAP,GMM,5,1159,0.45676982402801514
UMAP,Agglomerative,5,1159,0.4498623013496399
UMAP,Spectral,5,1159,0.463816374540329
UMAP,KMeans,6,1159,0.42234039306640625
UMAP,GMM,6,1159,0.31694069504737854
UMAP,Agglomerative,6,1159,0.4463657736778259
UMAP,Spectral,6,1159,0.41840946674346924
MDS,KMeans,4,1159,0.38455827151346367
MDS,GMM,4,1159,0.37996193752511936
MDS,Agglomerative,4,1159,0.38388179751708035
MDS,Spectral,4,1159,0.27700365948422023
MDS,KMeans,5,1159,0.4087128277369191
MDS,GMM,5,1159,0.396162674414741
MDS,Agglomerative,5,1159,0.4091979710154254
MDS,Spectral,5,1159,0.25411318870578636
MDS,KMeans,6,1159,0.4134339112741085
MDS,GMM,6,1159,0.4064434811180418
MDS,Agglomerative,6,1159,0.4132983533668504
MDS,Spectral,6,1159,0.24165926171667176
PCA,KMeans,4,1382,0.4863809316534468
PCA,GMM,4,1382,0.41986029057574326
PCA,Agglomerative,4,1382,0.48765134424796924
PCA,Spectral,4,1382,0.35808749973959464
PCA,KMeans,5,1382,0.5265791069468279
PCA,GMM,5,1382,0.12339455289482867
PCA,Agglomerative,5,1382,0.5521963523374787
PCA,Spectral,5,1382,0.3193613881228527
PCA,KMeans,6,1382,0.5680426055994776
PCA,GMM,6,1382,0.3450114327451788
PCA,Agglomerative,6,1382,0.5639881437960454
PCA,Spectral,6,1382,0.2875621523225612
UMAP,KMeans,4,1382,0.45321401953697205
UMAP,GMM,4,1382,0.4493798613548279
UMAP,Agglomerative,4,1382,0.44619688391685486
UMAP,Spectral,4,1382,0.4521981179714203
UMAP,KMeans,5,1382,0.4711878299713135
UMAP,GMM,5,1382,0.4153393507003784
UMAP,Agglomerative,5,1382,0.4093310534954071
UMAP,Spectral,5,1382,0.4632705748081207
UMAP,KMeans,6,1382,0.4299931526184082
UMAP,GMM,6,1382,0.3971509635448456
UMAP,Agglomerative,6,1382,0.3732675611972809
UMAP,Spectral,6,1382,0.43160703778266907
MDS,KMeans,4,1382,0.3912899081381352
MDS,GMM,4,1382,0.3813856216459944
MDS,Agglomerative,4,1382,0.38870309513707485
MDS,Spectral,4,1382,0.26729653056690855
MDS,KMeans,5,1382,0.3981985747310872
MDS,GMM,5,1382,0.38771792948436673
MDS,Agglomerative,5,1382,0.3975805080331463
MDS,Spectral,5,1382,0.25985930264393725
MDS,KMeans,6,1382,0.4071061767119604
MDS,GMM,6,1382,0.4001725034268068
MDS,Agglomerative,6,1382,0.40478436042499316
MDS,Spectral,6,1382,0.22496988591542547
PCA,KMeans,4,1855,0.4863809316534468
PCA,GMM,4,1855,0.41986029057574326
PCA,Agglomerative,4,1855,0.48765134424796924
PCA,Spectral,4,1855,0.35808749973959464
PCA,KMeans,5,1855,0.5269802136219324
PCA,GMM,5,1855,0.2807689809786663
PCA,Agglomerative,5,1855,0.5521963523374787
PCA,Spectral,5,1855,0.3193613881228527
PCA,KMeans,6,1855,0.56555838535161
PCA,GMM,6,1855,0.3450114327451788
PCA,Agglomerative,6,1855,0.5639881437960454
PCA,Spectral,6,1855,0.2875621523225612
UMAP,KMeans,4,1855,0.45318812131881714
UMAP,GMM,4,1855,0.4552067816257477
UMAP,Agglomerative,4,1855,0.4336956739425659
UMAP,Spectral,4,1855,0.43636441230773926
UMAP,KMeans,5,1855,0.4637250602245331
UMAP,GMM,5,1855,0.41112762689590454
UMAP,Agglomerative,5,1855,0.4555102288722992
UMAP,Spectral,5,1855,0.43682098388671875
UMAP,KMeans,6,1855,0.4628027081489563
UMAP,GMM,6,1855,0.399812251329422
UMAP,Agglomerative,6,1855,0.446124792098999
UMAP,Spectral,6,1855,0.45967304706573486
MDS,KMeans,4,1855,0.39005696887430896
MDS,GMM,4,1855,0.38198763494968124
MDS,Agglomerative,4,1855,0.39154800010965757
MDS,Spectral,4,1855,0.2295664331011867
MDS,KMeans,5,1855,0.4089713402107679
MDS,GMM,5,1855,0.39482630708919275
MDS,Agglomerative,5,1855,0.39797743892885734
MDS,Spectral,5,1855,0.2623156618252995
MDS,KMeans,6,1855,0.41190264342566846
MDS,GMM,6,1855,0.405587325847291
MDS,Agglomerative,6,1855,0.4052087842585607
MDS,Spectral,6,1855,0.25161685610171
PCA,KMeans,4,3653,0.4863809316534468
PCA,GMM,4,3653,0.41986029057574326
PCA,Agglomerative,4,3653,0.48765134424796924
PCA,Spectral,4,3653,0.35808749973959464
PCA,KMeans,5,3653,0.5265791069468279
PCA,GMM,5,3653,0.12339455289482867
PCA,Agglomerative,5,3653,0.5521963523374787
PCA,Spectral,5,3653,0.3193613881228527
PCA,KMeans,6,3653,0.5680426055994776
PCA,GMM,6,3653,0.3450114327451788
PCA,Agglomerative,6,3653,0.5639881437960454
PCA,Spectral,6,3653,0.2875621523225612
UMAP,KMeans,4,3653,0.4639261066913605
UMAP,GMM,4,3653,0.45950934290885925
UMAP,Agglomerative,4,3653,0.428927481174469
UMAP,Spectral,4,3653,0.46396318078041077
UMAP,KMeans,5,3653,0.46372297406196594
UMAP,GMM,5,3653,0.39425066113471985
UMAP,Agglomerative,5,3653,0.4219735264778137
UMAP,Spectral,5,3653,0.4685782790184021
UMAP,KMeans,6,3653,0.4216811954975128
UMAP,GMM,6,3653,0.4231952130794525
UMAP,Agglomerative,6,3653,0.3903273046016693
UMAP,Spectral,6,3653,0.4215759038925171
MDS,KMeans,4,3653,0.3913026893370778
MDS,GMM,4,3653,0.4655941234761706
MDS,Agglomerative,4,3653,0.388103203677519
MDS,Spectral,4,3653,0.271476491595034
MDS,KMeans,5,3653,0.40433145050395686
MDS,GMM,5,3653,0.37518676312048205
MDS,Agglomerative,5,3653,0.40735535664291933
MDS,Spectral,5,3653,0.24784097383791773
MDS,KMeans,6,3653,0.40001684506087
MDS,GMM,6,3653,0.3981348398433737
MDS,Agglomerative,6,3653,0.41205742360536635
MDS,Spectral,6,3653,0.2552615823119857
PCA,KMeans,4,7114,0.4863809316534468
PCA,GMM,4,7114,0.41986029057574326
PCA,Agglomerative,4,7114,0.48765134424796924
PCA,Spectral,4,7114,0.35808749973959464
PCA,KMeans,5,7114,0.5281900232358612
PCA,GMM,5,7114,0.12339455289482867
PCA,Agglomerative,5,7114,0.5521963523374787
PCA,Spectral,5,7114,0.3193613881228527
PCA,KMeans,6,7114,0.5680426055994776
PCA,GMM,6,7114,0.3017440536745064
PCA,Agglomerative,6,7114,0.5639881437960454
PCA,Spectral,6,7114,0.2875621523225612
UMAP,KMeans,4,7114,0.4449188709259033
UMAP,GMM,4,7114,0.43141013383865356
UMAP,Agglomerative,4,7114,0.43685346841812134
UMAP,Spectral,4,7114,0.44600117206573486
UMAP,KMeans,5,7114,0.4463629126548767
UMAP,GMM,5,7114,0.41030648350715637
UMAP,Agglomerative,5,7114,0.3708333969116211
UMAP,Spectral,5,7114,0.4624612033367157
UMAP,KMeans,6,7114,0.4252174198627472
UMAP,GMM,6,7114,0.36438605189323425
UMAP,Agglomerative,6,7114,0.37620609998703003
UMAP,Spectral,6,7114,0.4343106746673584
MDS,KMeans,4,7114,0.3904562430542909
MDS,GMM,4,7114,0.4654175210752253
MDS,Agglomerative,4,7114,0.388198860917401
MDS,Spectral,4,7114,0.26715295107608455
MDS,KMeans,5,7114,0.41316704504214674
MDS,GMM,5,7114,0.38925334136390466
MDS,Agglomerative,5,7114,0.405312884362196
MDS,Spectral,5,7114,0.2510516512911986
MDS,KMeans,6,7114,0.408380842179702
MDS,GMM,6,7114,0.4010574354000523
MDS,Agglomerative,6,7114,0.41204210179395995
MDS,Spectral,6,7114,0.2450651934537056
PCA,KMeans,4,2396,0.4863809316534468
PCA,GMM,4,2396,0.41986029057574326
PCA,Agglomerative,4,2396,0.48765134424796924
PCA,Spectral,4,2396,0.35808749973959464
PCA,KMeans,5,2396,0.5281900232358612
PCA,GMM,5,2396,0.2807689809786663
PCA,Agglomerative,5,2396,0.5521963523374787
PCA,Spectral,5,2396,0.3193613881228527
PCA,KMeans,6,2396,0.56555838535161
PCA,GMM,6,2396,0.3450114327451788
PCA,Agglomerative,6,2396,0.5639881437960454
PCA,Spectral,6,2396,0.2875621523225612
UMAP,KMeans,4,2396,0.466991662979126
UMAP,GMM,4,2396,0.41891705989837646
UMAP,Agglomerative,4,2396,0.44190794229507446
UMAP,Spectral,4,2396,0.4617566168308258
UMAP,KMeans,5,2396,0.4851817488670349
UMAP,GMM,5,2396,0.39003047347068787
UMAP,Agglomerative,5,2396,0.46365058422088623
UMAP,Spectral,5,2396,0.484634131193161
UMAP,KMeans,6,2396,0.44108936190605164
UMAP,GMM,6,2396,0.4619303047657013
UMAP,Agglomerative,6,2396,0.4274304211139679
UMAP,Spectral,6,2396,0.4414692521095276
MDS,KMeans,4,2396,0.3867484390033289
MDS,GMM,4,2396,0.5729308541866222
MDS,Agglomerative,4,2396,0.3858283985024753
MDS,Spectral,4,2396,0.2646936847993407
MDS,KMeans,5,2396,0.41421344263068116
MDS,GMM,5,2396,0.388668766497652
MDS,Agglomerative,5,2396,0.39804323640275385
MDS,Spectral,5,2396,0.25820884885950973
MDS,KMeans,6,2396,0.4245245922210504
MDS,GMM,6,2396,0.4272078428233893
MDS,Agglomerative,6,2396,0.4087893841325259
MDS,Spectral,6,2396,0.2616205266343663
PCA,KMeans,4,9181,0.4863809316534468
PCA,GMM,4,9181,0.41986029057574326
PCA,Agglomerative,4,9181,0.48765134424796924
PCA,Spectral,4,9181,0.35808749973959464
PCA,KMeans,5,9181,0.5269802136219324
PCA,GMM,5,9181,0.12339455289482867
PCA,Agglomerative,5,9181,0.5521963523374787
PCA,Spectral,5,9181,0.3193613881228527
PCA,KMeans,6,9181,0.5680426055994776
PCA,GMM,6,9181,0.3450114327451788
PCA,Agglomerative,6,9181,0.5639881437960454
PCA,Spectral,6,9181,0.2875621523225612
UMAP,KMeans,4,9181,0.4597264528274536
UMAP,GMM,4,9181,0.4296348989009857
UMAP,Agglomerative,4,9181,0.4261116087436676
UMAP,Spectral,4,9181,0.44594645500183105
UMAP,KMeans,5,9181,0.4596863389015198
UMAP,GMM,5,9181,0.40930119156837463
UMAP,Agglomerative,5,9181,0.44570687413215637
UMAP,Spectral,5,9181,0.4634173810482025
UMAP,KMeans,6,9181,0.44924408197402954
