method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,Agglomerative,4,6318,6027,1.0,1.0
PCA,Agglomerative,4,6318,1382,1.0,1.0
PCA,Agglomerative,4,6318,1273,1.0,1.0
PCA,Agglomerative,4,6318,9213,1.0,1.0
PCA,Agglomerative,4,6318,6967,1.0,1.0
PCA,Agglomerative,4,6731,6384,1.0,1.0
PCA,Agglomerative,4,6731,3016,1.0,1.0
PCA,Agglomerative,4,6731,6027,1.0,1.0
PCA,Agglomerative,4,6731,1382,1.0,1.0
PCA,Agglomerative,4,6731,1273,1.0,1.0
PCA,Agglomerative,4,6731,9213,1.0,1.0
PCA,Agglomerative,4,6731,6967,1.0,1.0
PCA,Agglomerative,4,6384,3016,1.0,1.0
PCA,Agglomerative,4,6384,6027,1.0,1.0
PCA,Agglomerative,4,6384,1382,1.0,1.0
PCA,Agglomerative,4,6384,1273,1.0,1.0
PCA,Agglomerative,4,6384,9213,1.0,1.0
PCA,Agglomerative,4,6384,6967,1.0,1.0
PCA,Agglomerative,4,3016,6027,1.0,1.0
PCA,Agglomerative,4,3016,1382,1.0,1.0
PCA,Agglomerative,4,3016,1273,1.0,1.0
PCA,Agglomerative,4,3016,9213,1.0,1.0
PCA,Agglomerative,4,3016,6967,1.0,1.0
PCA,Agglomerative,4,6027,1382,1.0,1.0
PCA,Agglomerative,4,6027,1273,1.0,1.0
PCA,Agglomerative,4,6027,9213,1.0,1.0
PCA,Agglomerative,4,6027,6967,1.0,1.0
PCA,Agglomerative,4,1382,1273,1.0,1.0
PCA,Agglomerative,4,1382,9213,1.0,1.0
PCA,Agglomerative,4,1382,6967,1.0,1.0
PCA,Agglomerative,4,1273,9213,1.0,1.0
PCA,Agglomerative,4,1273,6967,1.0,1.0
PCA,Agglomerative,4,9213,6967,1.0,1.0
PCA,Spectral,4,1238,5123,1.0,1.0
PCA,Spectral,4,1238,3050,1.0,1.0
PCA,Spectral,4,1238,4861,1.0,1.0
PCA,Spectral,4,1238,2699,1.0,1.0
PCA,Spectral,4,1238,3214,1.0,1.0
PCA,Spectral,4,1238,9496,1.0,1.0
PCA,Spectral,4,1238,1855,1.0,1.0
PCA,Spectral,4,1238,9991,1.0,1.0
PCA,Spectral,4,1238,5008,1.0,1.0
PCA,Spectral,4,5123,3050,1.0,1.0
PCA,Spectral,4,5123,4861,1.0,1.0
PCA,Spectral,4,5123,2699,1.0,1.0
PCA,Spectral,4,5123,3214,1.0,1.0
PCA,Spectral,4,5123,9496,1.0,1.0
PCA,Spectral,4,5123,1855,1.0,1.0
PCA,Spectral,4,5123,9991,1.0,1.0
PCA,Spectral,4,5123,5008,1.0,1.0
PCA,Spectral,4,3050,4861,1.0,1.0
PCA,Spectral,4,3050,2699,1.0,1.0
PCA,Spectral,4,3050,3214,1.0,1.0
PCA,Spectral,4,3050,9496,1.0,1.0
PCA,Spectral,4,3050,1855,1.0,1.0
PCA,Spectral,4,3050,9991,1.0,1.0
PCA,Spectral,4,3050,5008,1.0,1.0
PCA,Spectral,4,4861,2699,1.0,1.0
PCA,Spectral,4,4861,3214,1.0,1.0
PCA,Spectral,4,4861,9496,1.0,1.0
PCA,Spectral,4,4861,1855,1.0,1.0
PCA,Spectral,4,4861,9991,1.0,1.0
PCA,Spectral,4,4861,5008,1.0,1.0
PCA,Spectral,4,2699,3214,1.0,1.0
PCA,Spectral,4,2699,9496,1.0,1.0
PCA,Spectral,4,2699,1855,1.0,1.0
PCA,Spectral,4,2699,9991,1.0,1.0
PCA,Spectral,4,2699,5008,1.0,1.0
PCA,Spectral,4,3214,9496,1.0,1.0
PCA,Spectral,4,3214,1855,1.0,1.0
PCA,Spectral,4,3214,9991,1.0,1.0
PCA,Spectral,4,3214,5008,1.0,1.0
PCA,Spectral,4,9496,1855,1.0,1.0
PCA,Spectral,4,9496,9991,1.0,1.0
PCA,Spectral,4,9496,5008,1.0,1.0
PCA,Spectral,4,1855,9991,1.0,1.0
PCA,Spectral,4,1855,5008,1.0,1.0
PCA,Spectral,4,9991,5008,1.0,1.0
PCA,KMeans,5,4031,6230,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,4031,5123,0.9556964433494726,0.9487639378050284
PCA,KMeans,5,4031,7923,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,4031,9855,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,4031,6318,0.9556964433494726,0.9487639378050284
PCA,KMeans,5,4031,8859,0.9556964433494726,0.9487639378050287
PCA,KMeans,5,4031,1159,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,4031,8476,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,4031,3214,0.9559124211961152,0.9485214895706111
PCA,KMeans,5,6230,5123,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,6230,7923,1.0,1.0
PCA,KMeans,5,6230,9855,1.0,1.0
PCA,KMeans,5,6230,6318,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,6230,8859,0.9129147931014856,0.9130479636409463
PCA,KMeans,5,6230,1159,1.0,1.0
PCA,KMeans,5,6230,8476,1.0,1.0
PCA,KMeans,5,6230,3214,1.0,1.0
